Postcode,Residents
E1,70389
E10,43120
E11,54689
E12,42606
E13,47169
E14,82638
E15,51650
E16,45371
E17,103129
E18,19864
E2,45811
E3,52371
E4,60357
E5,48492
E6,78790
E7,54133
E8,39260
E9,37768
EC1A,894
EC1M,2473
EC1N,2650
EC1R,4885
EC1V,12765
EC1Y,3767
EC2A,1229
EC2Y,3249
EC3R,227
EC4A,151
EC4V,595
EC4Y,320
N1,91056
N10,27992
N11,29879
N12,28898
N13,31783
N14,29956
N15,43718
N16,68567
N17,63538
N18,31742
N19,33752
N2,23968
N20,19024
N21,23500
N22,42851
N3,26534
N4,47291
N5,24287
N6,19474
N7,48157
N8,40037
N9,52193
NW1,60339
NW10,91997
NW11,32684
NW2,66968
NW3,51891
NW4,31932
NW5,31125
NW6,63903
NW7,25670
NW8,34353
NW9,60545
SE1,67037
SE10,23987
SE11,21974
SE12,27143
SE13,42278
SE14,24679
SE15,64359
SE16,44957
SE17,33591
SE18,77384
SE19,27650
SE2,27104
SE20,22881
SE21,15259
SE22,29738
SE23,33489
SE24,18914
SE25,34686
SE26,28378
SE27,21836
SE28,29488
SE3,31790
SE4,28723
SE5,46256
SE6,53271
SE7,21139
SE8,27859
SE9,62852
SW10,18478
SW11,71717
SW12,31586
SW13,16190
SW14,16830
SW15,60456
SW16,80927
SW17,64215
SW18,58992
SW19,77676
SW1A,246
SW1E,919
SW1H,734
SW1P,13508
SW1V,22574
SW1W,8557
SW1X,6026
SW1Y,550
SW2,54331
SW20,28275
SW3,22170
SW4,39586
SW5,15493
SW6,65149
SW7,19852
SW8,36408
SW9,43399
