PostDist,2014,2015,2016,2017,2018,2019,2020,2021
N1,41.0,44.0,36.0,23.0,24.0,28.0,14.0,9.0
N2,6.0,7.0,7.0,5.0,6.0,5.0,0.0,1.0
N3,4.0,9.0,14.0,8.0,13.0,14.0,6.0,6.0
N4,32.0,36.0,48.0,38.0,22.0,45.0,9.0,2.0
N5,5.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0
N6,0.0,3.0,4.0,3.0,2.0,0.0,1.0,0.0
N7,11.0,34.0,23.0,21.0,11.0,26.0,11.0,5.0
N8,7.0,17.0,21.0,28.0,14.0,24.0,3.0,6.0
N9,30.0,32.0,53.0,67.0,29.0,23.0,7.0,12.0
N10,2.0,3.0,6.0,2.0,5.0,15.0,1.0,2.0
N11,15.0,16.0,18.0,17.0,18.0,24.0,4.0,1.0
N12,15.0,9.0,15.0,9.0,14.0,10.0,5.0,4.0
N13,16.0,13.0,15.0,18.0,14.0,24.0,9.0,8.0
N14,12.0,9.0,11.0,5.0,3.0,14.0,3.0,5.0
N15,47.0,46.0,65.0,51.0,52.0,81.0,17.0,12.0
N16,27.0,35.0,34.0,21.0,37.0,37.0,13.0,2.0
N17,61.0,45.0,74.0,65.0,78.0,72.0,23.0,15.0
N18,24.0,29.0,25.0,39.0,14.0,24.0,8.0,5.0
N19,11.0,9.0,17.0,7.0,9.0,17.0,5.0,1.0
N20,7.0,1.0,5.0,7.0,7.0,6.0,3.0,1.0
N21,5.0,2.0,8.0,4.0,1.0,6.0,1.0,0.0
N22,61.0,55.0,28.0,39.0,45.0,38.0,7.0,9.0
NW1,26.0,30.0,43.0,25.0,38.0,47.0,10.0,2.0
NW2,47.0,27.0,46.0,62.0,74.0,80.0,34.0,15.0
NW3,8.0,19.0,15.0,20.0,9.0,9.0,4.0,2.0
NW4,21.0,18.0,22.0,18.0,39.0,24.0,9.0,8.0
NW5,7.0,6.0,16.0,6.0,13.0,7.0,2.0,4.0
NW6,21.0,22.0,34.0,19.0,50.0,39.0,10.0,3.0
NW7,7.0,6.0,9.0,13.0,5.0,12.0,3.0,0.0
NW8,7.0,7.0,9.0,6.0,9.0,16.0,1.0,6.0
NW9,74.0,49.0,41.0,38.0,68.0,66.0,10.0,8.0
NW10,56.0,60.0,66.0,88.0,140.0,148.0,40.0,15.0
NW11,19.0,19.0,22.0,17.0,30.0,24.0,6.0,10.0
E1,152.0,145.0,160.0,127.0,73.0,88.0,24.0,6.0
E2,34.0,19.0,46.0,17.0,26.0,37.0,11.0,2.0
E3,47.0,60.0,34.0,41.0,36.0,24.0,10.0,6.0
E4,16.0,15.0,15.0,18.0,23.0,24.0,10.0,9.0
E5,12.0,41.0,21.0,20.0,30.0,27.0,4.0,9.0
E6,328.0,219.0,209.0,204.0,157.0,83.0,22.0,26.0
E7,224.0,204.0,186.0,165.0,121.0,76.0,21.0,20.0
E8,42.0,44.0,39.0,26.0,27.0,25.0,4.0,7.0
E9,15.0,27.0,37.0,15.0,21.0,21.0,6.0,4.0
E10,86.0,95.0,77.0,64.0,134.0,119.0,24.0,25.0
E11,28.0,56.0,40.0,32.0,71.0,45.0,11.0,13.0
E12,154.0,129.0,127.0,106.0,58.0,58.0,20.0,12.0
E13,115.0,125.0,177.0,131.0,130.0,71.0,19.0,9.0
E14,59.0,54.0,44.0,38.0,58.0,59.0,10.0,9.0
E15,81.0,79.0,83.0,87.0,81.0,85.0,13.0,19.0
E16,30.0,49.0,48.0,49.0,56.0,56.0,8.0,5.0
E17,148.0,138.0,92.0,103.0,161.0,153.0,60.0,33.0
E18,3.0,2.0,13.0,5.0,3.0,11.0,1.0,6.0
EC1A,9.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0
EC1M,4.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0
EC1N,1.0,4.0,8.0,3.0,4.0,0.0,1.0,0.0
EC1R,1.0,6.0,3.0,1.0,4.0,0.0,0.0,0.0
EC1V,3.0,12.0,9.0,2.0,8.0,0.0,3.0,1.0
EC1Y,0.0,3.0,2.0,5.0,4.0,0.0,1.0,0.0
EC2A,1.0,8.0,4.0,7.0,1.0,0.0,1.0,0.0
EC2M,1.0,5.0,12.0,6.0,3.0,0.0,0.0,0.0
EC2N,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
EC2P,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EC2R,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
EC2V,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
EC2Y,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
EC3A,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
EC3M,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
EC3N,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0
EC3R,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
EC3V,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
EC4A,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
EC4M,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0
EC4N,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
EC4R,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
EC4V,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
EC4Y,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
W2,40.0,63.0,49.0,29.0,50.0,71.0,5.0,23.0
W3,18.0,21.0,16.0,19.0,37.0,34.0,10.0,7.0
W4,4.0,5.0,4.0,7.0,16.0,14.0,1.0,4.0
W5,60.0,27.0,12.0,17.0,32.0,26.0,5.0,2.0
W6,141.0,22.0,12.0,4.0,19.0,24.0,6.0,8.0
W7,6.0,16.0,6.0,2.0,21.0,14.0,1.0,1.0
W8,19.0,28.0,24.0,16.0,10.0,2.0,0.0,0.0
W9,5.0,9.0,18.0,6.0,17.0,31.0,7.0,1.0
W10,2.0,17.0,17.0,10.0,13.0,12.0,6.0,3.0
W11,7.0,12.0,9.0,4.0,4.0,11.0,1.0,1.0
W12,33.0,34.0,41.0,39.0,28.0,38.0,6.0,7.0
W13,3.0,8.0,9.0,7.0,24.0,27.0,0.0,2.0
W14,11.0,9.0,10.0,15.0,18.0,26.0,4.0,5.0
W1A,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
W1B,3.0,6.0,2.0,3.0,2.0,1.0,0.0,0.0
W1C,4.0,2.0,3.0,0.0,0.0,7.0,0.0,3.0
W1D,10.0,15.0,10.0,11.0,12.0,8.0,3.0,4.0
W1F,2.0,1.0,1.0,4.0,8.0,5.0,1.0,0.0
W1G,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
W1H,3.0,8.0,4.0,0.0,3.0,5.0,1.0,6.0
