postdist,total,Other White,Indian,Pakistani,Bangladeshi,Chinese,Other Asian,African,Caribbean,Other Black,Arab
AL1,36180,2645,658,574,1406,397,701,413,370,112,164
AL10,35900,2957,2015,479,288,1347,1013,2567,430,168,370
AL2,23604,1115,556,110,413,212,519,236,170,33,91
AL3,28462,1366,370,143,497,139,231,153,183,62,91
AL4,27268,1167,320,192,207,179,243,202,130,52,74
AL5,30240,1376,338,130,114,231,187,212,71,25,40
AL6,11222,312,141,56,9,61,87,74,26,10,18
AL7,33890,1549,794,125,115,237,694,995,158,128,128
AL8,13252,603,218,40,23,117,143,141,56,19,14
AL9,10409,713,251,42,19,138,80,109,20,8,29
B1,7989,728,674,167,47,758,351,342,417,178,128
B10,25908,338,628,12595,3790,86,1244,1258,757,779,838
B11,44704,897,3284,22133,3035,195,2270,1031,1044,626,1322
B12,20755,461,922,6577,1346,308,1000,1064,1153,748,2568
B13,36817,1075,2504,6651,507,297,1090,519,1106,385,518
B14,43413,877,1453,2160,192,277,599,544,1182,341,176
B15,18221,960,2030,708,79,829,675,573,823,289,234
B16,23770,1915,2488,2855,282,685,1188,1528,1754,876,379
B17,25563,1156,3197,1078,120,668,908,532,594,249,250
B18,16283,703,1461,2086,434,338,744,1174,2656,989,88
B19,20068,385,968,3688,3868,207,712,2362,2490,1346,197
B2,616,78,51,15,1,140,41,39,11,5,25
B20,34089,1347,8893,5831,1829,313,1866,1594,3948,934,157
B21,30326,1783,8430,4540,2079,312,1748,1220,3930,1053,116
B23,42870,1874,1489,2458,539,421,629,1258,3382,938,101
B24,28870,1026,793,1981,211,309,483,541,1679,458,91
B25,16005,416,667,2947,917,41,498,250,559,209,170
B26,32826,510,792,1675,413,107,365,247,547,133,98
B27,24834,1105,1565,2908,471,169,618,260,750,260,152
B28,30036,551,3517,5293,571,151,1043,225,438,121,185
B29,42024,1438,1914,1143,328,1351,1351,941,727,306,377
B3,2574,185,207,39,11,216,70,47,86,24,29
B30,29084,778,643,615,300,203,368,302,553,189,105
B31,54302,716,651,363,90,469,798,927,1135,504,148
B32,38518,779,1275,564,133,303,864,1100,1625,524,181
B33,34513,555,570,3731,311,104,830,732,1347,436,100
B34,19327,201,129,2034,108,48,260,175,573,163,60
B35,9971,100,46,40,10,25,28,120,356,103,14
B36,34751,320,307,3377,352,127,475,711,953,458,138
B37,35728,365,237,94,21,86,158,299,721,161,16
B38,21354,303,223,148,40,85,186,312,553,202,90
B4,4683,475,1150,170,25,543,198,283,97,27,69
B42,24367,676,2627,1222,705,267,473,433,2132,469,35
B43,28441,427,3359,302,176,65,514,195,1117,183,26
B44,37091,613,1053,488,193,154,347,509,1639,403,27
B45,30185,295,247,119,17,92,107,193,379,167,19
B46,12072,180,42,3,1,13,27,9,31,4,0
B47,9355,61,107,8,8,18,28,14,26,7,2
B48,5796,56,56,23,1,9,8,1,17,0,2
B49,10189,177,29,4,0,23,30,6,7,1,1
B5,11983,674,1160,863,227,1046,570,657,795,289,495
B50,5350,96,11,2,0,6,6,0,5,0,2
B6,19664,343,1602,5575,4371,170,701,1334,1730,732,143
B60,27951,322,303,67,8,64,52,25,48,9,30
B61,23470,362,192,20,13,147,103,25,55,23,2
B62,24401,239,1049,640,152,74,182,64,222,31,129
B63,36431,320,278,543,43,102,176,156,152,71,813
B64,16528,143,253,846,62,29,106,113,122,39,99
B65,23770,280,665,430,156,47,165,174,373,84,55
B66,21334,1273,3121,3863,1791,100,1175,1118,1701,599,147
B67,30387,1190,4698,2302,375,105,1127,551,1396,324,80
B68,30588,699,3113,1275,162,90,591,258,1127,185,36
B69,28958,942,2820,1273,92,82,562,432,1294,254,37
B7,8546,129,135,770,332,180,196,1440,1010,900,103
B70,27992,2188,5094,1533,1522,67,777,442,1525,303,288
B71,30990,1311,3062,388,335,66,648,376,1243,283,52
B72,9569,176,358,210,36,71,49,30,114,22,5
B73,22801,409,970,370,73,156,222,74,432,91,43
B74,32470,459,2097,273,68,123,353,95,244,58,24
B75,26687,387,909,259,23,112,200,94,296,101,15
B76,21651,346,677,152,23,138,157,80,270,57,46
B77,57313,832,281,40,18,87,109,70,212,41,22
B78,24374,228,115,15,4,68,29,14,65,9,4
B79,22126,441,117,7,20,61,36,18,33,9,6
B8,41929,532,838,22950,2449,163,3345,1626,1096,829,387
B80,7060,130,28,10,8,14,16,13,9,4,0
B9,24903,489,657,11137,1662,133,1309,1383,932,909,513
B90,45359,683,2495,925,128,312,392,110,234,62,109
B91,33166,658,2283,957,110,234,394,134,146,58,93
B92,37245,610,1391,1190,311,137,365,134,300,62,72
B93,19706,326,343,58,11,36,86,52,35,4,26
B94,7380,99,96,34,2,20,17,8,14,2,5
B95,5663,86,6,5,2,11,4,1,2,0,5
B96,5073,78,15,19,0,2,6,1,9,5,2
B97,33494,899,227,861,98,93,121,54,259,49,21
B98,50058,2354,538,1746,97,115,226,120,349,102,37
BA1,40723,2471,434,58,63,613,379,139,313,64,149
BA10,3739,90,7,0,0,52,5,11,2,4,1
BA11,32454,960,40,8,14,77,132,44,19,10,1
BA12,28508,728,60,10,18,86,139,88,36,50,6
BA13,20224,380,27,3,12,26,75,13,20,12,1
BA14,48138,2327,134,16,53,124,213,114,232,70,158
BA15,13139,356,10,1,0,17,35,12,17,5,3
BA16,13041,375,45,7,35,49,59,27,12,1,15
BA2,73752,3304,561,81,130,1142,581,264,305,72,181
BA20,10865,521,29,5,13,44,56,24,14,7,8
BA21,33619,1355,203,59,31,118,233,71,19,6,15
BA22,18166,266,18,1,2,29,33,10,24,4,3
BA3,34710,531,52,4,23,59,100,46,31,2,20
BA4,17775,752,73,2,6,35,34,21,4,7,2
BA5,17534,470,30,0,12,59,68,8,5,4,3
BA6,12870,419,33,0,1,13,36,12,1,4,2
BA7,3514,47,1,0,0,6,10,11,0,0,0
BA8,4153,70,5,0,4,1,6,2,3,0,1
BA9,7242,316,25,1,10,15,13,5,3,2,7
BB1,66545,1152,15450,11756,935,306,982,246,89,63,303
BB10,37432,405,172,5036,1190,81,472,40,42,10,34
BB11,22221,388,84,585,134,44,119,23,42,2,8
BB12,34613,319,113,894,1169,109,123,19,40,3,20
BB18,17179,333,25,229,8,55,42,4,4,3,3
BB2,59924,1285,4218,5612,543,256,572,313,79,45,270
BB3,34503,599,199,576,49,198,124,66,41,10,22
BB4,41401,431,143,1052,1561,148,149,29,45,7,34
BB5,61102,1184,201,6651,373,192,478,35,35,6,75
BB6,14659,207,103,843,33,49,29,7,7,4,9
BB7,31699,513,69,216,26,70,47,63,6,12,3
BB8,23041,290,18,394,36,49,65,11,14,3,12
BB9,44598,1228,157,14112,271,173,455,47,29,2,33
BD1,3836,601,187,609,649,85,99,217,39,7,365
BD10,25882,460,341,268,44,118,132,154,180,20,77
BD11,11355,84,125,50,1,28,16,20,27,7,20
BD12,16685,231,149,241,12,42,51,64,98,26,36
BD13,24979,214,209,334,9,52,74,67,58,12,60
BD14,8871,137,769,657,185,15,115,45,33,6,15
BD15,15316,366,289,1937,64,53,453,191,112,29,50
BD16,25803,557,176,345,41,75,105,64,82,22,167
BD17,17901,284,184,101,7,35,71,26,29,8,17
BD18,27258,891,505,2400,342,83,354,110,160,18,82
BD19,22019,267,245,217,13,48,59,33,50,14,5
BD2,28566,533,951,3292,718,76,314,117,275,38,176
BD20,35315,495,186,1540,162,69,129,31,47,14,33
BD21,27133,815,172,8439,1752,91,372,136,46,26,33
BD22,29849,383,113,433,117,48,85,99,51,9,27
BD23,29329,557,109,434,29,58,139,39,3,3,21
BD24,5131,67,11,5,0,32,17,5,0,0,2
BD3,34021,872,1587,19032,2733,118,1102,298,253,45,327
BD4,31218,1313,924,2019,162,157,363,651,363,83,139
BD5,31641,1945,921,12938,777,227,1148,965,789,146,612
BD6,30072,489,705,1385,36,75,208,208,282,38,130
BD7,35345,2059,2910,15256,294,489,1048,877,186,67,654
BD8,31502,1624,1550,17136,1461,110,978,432,344,56,384
BD9,29309,1080,948,18460,309,75,843,238,154,13,334
BH1,19304,3178,623,32,49,323,376,273,71,43,109
BH10,20062,485,38,2,35,111,156,67,22,13,22
BH11,19910,466,62,3,17,60,104,56,15,10,43
BH12,35271,1373,210,20,132,236,324,111,46,15,31
BH13,8321,345,87,9,0,35,88,15,9,8,9
BH14,23432,823,134,10,70,113,193,52,22,12,27
BH15,33052,1409,507,25,96,143,247,85,24,22,33
BH16,15835,272,12,2,7,27,39,16,0,0,2
BH17,22983,502,66,18,51,93,73,38,13,9,18
BH18,11128,149,54,13,28,30,38,5,2,3,1
BH19,11517,291,12,11,21,20,32,11,4,2,3
BH2,8345,1462,91,24,14,122,214,80,24,16,67
BH20,19954,275,11,1,2,18,48,15,2,4,2
BH21,40571,596,56,17,53,80,78,18,6,13,5
BH22,26791,384,47,16,93,75,51,34,3,4,14
BH23,52818,919,99,10,44,187,194,60,29,6,15
BH24,23595,454,55,4,21,51,69,10,16,9,5
BH25,25717,556,85,2,23,73,210,51,18,16,9
BH3,5740,377,76,8,19,38,119,31,9,6,55
BH31,13360,157,28,7,47,9,20,7,13,0,4
BH4,9382,746,64,7,18,65,96,35,20,5,39
BH5,11246,1637,139,17,9,141,149,68,44,19,26
BH6,22199,943,104,7,45,95,114,80,25,4,37
BH7,11820,731,190,39,22,146,205,79,29,5,28
BH8,28015,2204,357,49,76,397,642,273,65,36,152
BH9,31619,1301,221,25,104,345,507,179,58,21,120
BL0,17753,167,36,58,11,43,36,25,17,4,2
BL1,63799,1447,7798,3535,69,473,772,908,188,244,244
BL2,45533,878,652,640,12,269,216,510,99,42,46
BL3,64278,1428,11740,6605,408,362,1517,1633,163,252,346
BL4,33450,504,608,979,96,151,341,267,64,35,56
BL5,27040,216,328,68,9,87,68,47,29,6,11
BL6,29428,337,445,178,12,74,78,68,50,10,15
BL7,14959,129,72,14,8,13,22,5,10,3,4
BL8,35797,422,198,675,59,169,129,88,68,11,49
BL9,48222,1330,290,5589,132,244,681,358,131,63,152
BN1,84775,6509,986,232,304,1264,1085,916,281,114,529
BN10,18579,589,113,8,37,46,169,103,24,18,48
BN11,33278,1893,439,75,182,150,768,352,73,36,82
BN12,20127,405,86,22,151,85,112,48,14,9,26
BN13,27536,609,109,20,86,95,201,84,36,22,27
BN14,30736,892,153,57,126,157,344,127,46,29,19
BN15,27371,522,63,11,56,156,115,120,26,5,46
