postdist,total,white,mixed,asian,black,other,nonwhite_rate
AL1,36180,30029,1191,3736,895,329,0.17001105583195136
AL10,35900,25883,1105,5142,3165,605,0.279025069637883
AL2,23604,20359,766,1810,439,230,0.13747669886459923
AL3,28462,25805,716,1380,398,163,0.09335254022907737
AL4,27268,24919,682,1141,384,142,0.08614493178817662
AL5,30240,28161,649,1000,308,122,0.06875
AL6,11222,10527,183,354,110,48,0.061931919443949386
AL7,33890,29507,893,1965,1281,244,0.1293301858955444
AL8,13252,12122,310,541,216,63,0.08527014790220344
AL9,10409,9400,234,530,137,108,0.09693534441348833
B1,7989,4316,451,1997,937,288,0.4597571661033922
B10,25908,2786,721,18343,2794,1264,0.8924656476763934
B11,44704,7783,1442,30917,2701,1861,0.8258992483894059
B12,20755,3632,1043,10153,2965,2962,0.8250060226451458
B13,36817,21056,1806,11049,2010,896,0.4280902843794986
B14,43413,34156,2074,4681,2067,435,0.21323105982079102
B15,18221,10550,1051,4321,1685,614,0.42099774984907523
B16,23770,9773,1472,7498,4158,869,0.5888514934791754
B17,25563,16482,1026,5971,1375,709,0.3552399953057153
B18,16283,4712,1243,5063,4819,446,0.7106184364060677
B19,20068,2894,1043,9443,6198,490,0.8557903129360176
B2,616,253,23,248,55,37,0.5892857142857143
B20,34089,6469,1365,18732,6476,1047,0.8102320396608876
B21,30326,4309,1516,17109,6203,1189,0.8579107036866056
B23,42870,28797,2612,5536,5578,347,0.32827151854443665
B24,28870,20595,1556,3777,2678,264,0.28662971943193627
B25,16005,8850,798,5070,1018,269,0.44704779756326146
B26,32826,27436,926,3352,927,185,0.16419911046121977
B27,24834,16404,1149,5731,1270,280,0.3394539743899493
B28,30036,17189,956,10575,784,532,0.42772006925023304
B29,42024,31208,1956,6087,1974,799,0.25737673710260806
B3,2574,1674,134,543,157,66,0.34965034965034963
B30,29084,24507,1176,2129,1044,228,0.1573717507908128
B31,54302,46585,2404,2371,2566,376,0.142112629369084
B32,38518,29391,2250,3139,3249,489,0.23695415130588296
B33,34513,24214,1952,5546,2515,286,0.2984092950482427
B34,19327,14710,1005,2579,911,122,0.23888860143840224
B35,9971,8590,599,149,579,54,0.13850165479891685
B36,34751,26429,1327,4638,2122,235,0.23947512301804263
B37,35728,32599,1298,596,1181,54,0.08757836990595612
