,Postcode,Year,Count
0,N1,2014,41.0
1,N1,2015,44.0
2,N1,2016,36.0
3,N1,2017,23.0
4,N1,2018,24.0
5,N1,2019,28.0
6,N1,2020,14.0
7,N1,2021,9.0
8,N2,2014,6.0
9,N2,2015,7.0
10,N2,2016,7.0
11,N2,2017,5.0
12,N2,2018,6.0
13,N2,2019,5.0
14,N2,2020,0.0
15,N2,2021,1.0
16,N3,2014,4.0
17,N3,2015,9.0
18,N3,2016,14.0
19,N3,2017,8.0
20,N3,2018,13.0
21,N3,2019,14.0
22,N3,2020,6.0
23,N3,2021,6.0
24,N4,2014,32.0
25,N4,2015,36.0
26,N4,2016,48.0
27,N4,2017,38.0
28,N4,2018,22.0
29,N4,2019,45.0
30,N4,2020,9.0
31,N4,2021,2.0
32,N5,2014,5.0
33,N5,2015,3.0
34,N5,2016,2.0
35,N5,2017,2.0
36,N5,2018,2.0
37,N5,2019,3.0
38,N5,2020,2.0
39,N5,2021,1.0
40,N6,2014,0.0
41,N6,2015,3.0
42,N6,2016,4.0
43,N6,2017,3.0
44,N6,2018,2.0
45,N6,2019,0.0
46,N6,2020,1.0
47,N6,2021,0.0
48,N7,2014,11.0
49,N7,2015,34.0
50,N7,2016,23.0
51,N7,2017,21.0
52,N7,2018,11.0
53,N7,2019,26.0
54,N7,2020,11.0
55,N7,2021,5.0
56,N8,2014,7.0
57,N8,2015,17.0
58,N8,2016,21.0
59,N8,2017,28.0
60,N8,2018,14.0
61,N8,2019,24.0
62,N8,2020,3.0
63,N8,2021,6.0
64,N9,2014,30.0
65,N9,2015,32.0
66,N9,2016,53.0
67,N9,2017,67.0
68,N9,2018,29.0
69,N9,2019,23.0
70,N9,2020,7.0
71,N9,2021,12.0
72,N10,2014,2.0
73,N10,2015,3.0
74,N10,2016,6.0
75,N10,2017,2.0
76,N10,2018,5.0
77,N10,2019,15.0
78,N10,2020,1.0
79,N10,2021,2.0
80,N11,2014,15.0
81,N11,2015,16.0
82,N11,2016,18.0
83,N11,2017,17.0
84,N11,2018,18.0
85,N11,2019,24.0
86,N11,2020,4.0
87,N11,2021,1.0
88,N12,2014,15.0
89,N12,2015,9.0
90,N12,2016,15.0
91,N12,2017,9.0
92,N12,2018,14.0
93,N12,2019,10.0
94,N12,2020,5.0
95,N12,2021,4.0
96,N13,2014,16.0
97,N13,2015,13.0
98,N13,2016,15.0
99,N13,2017,18.0
100,N13,2018,14.0
101,N13,2019,24.0
102,N13,2020,9.0
103,N13,2021,8.0
104,N14,2014,12.0
105,N14,2015,9.0
106,N14,2016,11.0
107,N14,2017,5.0
108,N14,2018,3.0
109,N14,2019,14.0
110,N14,2020,3.0
111,N14,2021,5.0
112,N15,2014,47.0
113,N15,2015,46.0
114,N15,2016,65.0
115,N15,2017,51.0
116,N15,2018,52.0
117,N15,2019,81.0
118,N15,2020,17.0
119,N15,2021,12.0
120,N16,2014,27.0
121,N16,2015,35.0
122,N16,2016,34.0
123,N16,2017,21.0
124,N16,2018,37.0
125,N16,2019,37.0
126,N16,2020,13.0
127,N16,2021,2.0
128,N17,2014,61.0
129,N17,2015,45.0
130,N17,2016,74.0
131,N17,2017,65.0
132,N17,2018,78.0
133,N17,2019,72.0
134,N17,2020,23.0
135,N17,2021,15.0
