,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,-28.073,24.452,-77.667,12.973,0.487,0.384,2539.0,1345.0,1.0
OtherWhite,134.022,30.372,73.936,186.175,0.671,0.474,2057.0,1643.0,1.0
Indian,-3.433,27.62,-57.131,45.814,0.769,0.567,1290.0,1181.0,1.0
Pakistani,45.8,24.699,1.085,92.925,0.647,0.474,1464.0,1409.0,1.0
Bangladeshi,-0.412,14.434,-29.823,25.493,0.293,0.331,2444.0,1288.0,1.0
Chinese,-23.169,21.928,-68.634,13.925,0.501,0.412,1916.0,1459.0,1.0
OtherAsian,3.67,26.537,-46.718,53.435,0.65,0.557,1675.0,1366.0,1.0
African,24.952,36.828,-37.306,97.566,0.783,0.724,2201.0,1552.0,1.0
Caribbean,-121.772,40.539,-192.997,-44.525,0.985,0.705,1685.0,1453.0,1.0
OtherBlack,94.056,42.75,17.155,175.5,1.014,0.736,1780.0,1675.0,1.0
Arab,-78.712,20.593,-115.669,-38.05,0.509,0.36,1646.0,1613.0,1.0
raids_per_k_sigma,45.713,2.573,40.827,50.477,0.055,0.039,2197.0,1484.0,1.0
