,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,0.305,0.116,0.092,0.526,0.002,0.002,2526.0,1649.0,1.0
OtherWhite,0.303,0.161,0.002,0.604,0.004,0.003,1536.0,1275.0,1.0
Indian,-0.177,0.147,-0.441,0.108,0.004,0.003,1554.0,1638.0,1.0
Pakistani,0.583,0.131,0.358,0.837,0.003,0.002,1463.0,1433.0,1.0
Bangladeshi,0.304,0.082,0.147,0.449,0.002,0.001,2192.0,1557.0,1.0
Chinese,0.41,0.131,0.179,0.671,0.003,0.002,1888.0,1657.0,1.0
OtherAsian,0.238,0.156,-0.059,0.522,0.004,0.003,1617.0,1373.0,1.0
African,0.896,0.232,0.491,1.358,0.007,0.005,1077.0,1376.0,1.0
Caribbean,0.242,0.282,-0.271,0.77,0.008,0.006,1172.0,1455.0,1.0
OtherBlack,-0.288,0.353,-0.942,0.351,0.012,0.009,934.0,1129.0,1.0
Arab,-0.099,0.129,-0.32,0.159,0.004,0.003,1367.0,1430.0,1.0
raids_per_k_sigma,0.233,0.015,0.206,0.263,0.0,0.0,2363.0,1477.0,1.0
