,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,-43.868,15.374,-72.27,-15.578,0.295,0.218,2711.0,1655.0,1.0
OtherWhite,159.702,28.731,107.326,214.836,0.586,0.416,2409.0,1625.0,1.0
Indian,46.825,34.422,-20.025,108.401,0.737,0.549,2201.0,1600.0,1.0
Pakistani,16.52,30.791,-41.17,72.579,0.648,0.615,2251.0,1569.0,1.0
Bangladeshi,15.514,30.246,-40.199,71.935,0.592,0.58,2628.0,1341.0,1.0
Chinese,1.28,25.926,-45.443,51.45,0.49,0.574,2783.0,1552.0,1.0
OtherAsian,-20.024,26.893,-70.294,28.337,0.62,0.54,1883.0,1321.0,1.0
African,23.511,40.363,-49.466,98.745,0.936,0.843,1863.0,1512.0,1.0
Caribbean,-42.194,49.307,-139.003,50.584,1.314,0.975,1424.0,1084.0,1.0
OtherBlack,49.031,51.685,-49.278,146.028,1.355,1.015,1464.0,1271.0,1.0
Arab,-72.48,22.362,-114.83,-32.667,0.486,0.354,2120.0,1466.0,1.0
raids_per_k_sigma,45.444,2.739,40.456,50.654,0.055,0.039,2545.0,1305.0,1.0
