"date","geography","geography code","Rural Urban","Ethnic Group: All usual residents; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed/multiple ethnic groups; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: Other Mixed; measures: Value","Ethnic Group: Asian/Asian British; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black/African/Caribbean/Black British; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other ethnic group; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"2011","AL1","AL1","Total",36180,30029,26551,778,55,2645,1191,333,105,459,294,3736,658,574,1406,397,701,895,413,370,112,329,164,165
"2011","AL10","AL10","Total",35900,25883,22310,555,61,2957,1105,348,174,308,275,5142,2015,479,288,1347,1013,3165,2567,430,168,605,370,235
"2011","AL2","AL2","Total",23604,20359,18728,490,26,1115,766,190,89,284,203,1810,556,110,413,212,519,439,236,170,33,230,91,139
"2011","AL3","AL3","Total",28462,25805,23912,494,33,1366,716,205,72,263,176,1380,370,143,497,139,231,398,153,183,62,163,91,72
"2011","AL4","AL4","Total",27268,24919,23321,379,52,1167,682,196,64,252,170,1141,320,192,207,179,243,384,202,130,52,142,74,68
"2011","AL5","AL5","Total",30240,28161,26341,440,4,1376,649,118,80,270,181,1000,338,130,114,231,187,308,212,71,25,122,40,82
"2011","AL6","AL6","Total",11222,10527,10041,160,14,312,183,31,27,80,45,354,141,56,9,61,87,110,74,26,10,48,18,30
"2011","AL7","AL7","Total",33890,29507,27423,497,38,1549,893,315,144,239,195,1965,794,125,115,237,694,1281,995,158,128,244,128,116
"2011","AL8","AL8","Total",13252,12122,11309,205,5,603,310,87,30,107,86,541,218,40,23,117,143,216,141,56,19,63,14,49
"2011","AL9","AL9","Total",10409,9400,8470,187,30,713,234,52,43,73,66,530,251,42,19,138,80,137,109,20,8,108,29,79
