"date","geography","geography code","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"2011","AL1","AL1","Total",36180,17993,18187,35902,278,616,1055.02,34.3
"2011","AL10","AL10","Total",35900,18327,17573,32907,2993,367,2023.54,17.7
"2011","AL2","AL2","Total",23604,11596,12008,23337,267,351,3734.88,6.3
"2011","AL3","AL3","Total",28462,13830,14632,28061,401,544,6803.77,4.2
"2011","AL4","AL4","Total",27268,13388,13880,27102,166,601,5299.97,5.1
"2011","AL5","AL5","Total",30240,14773,15467,29707,533,952,2310.24,13.1
"2011","AL6","AL6","Total",11222,5495,5727,11104,118,317,3311.32,3.4
"2011","AL7","AL7","Total",33890,16502,17388,33674,216,355,1063.16,31.9
"2011","AL8","AL8","Total",13252,6245,7007,13185,67,237,864.67,15.3
"2011","AL9","AL9","Total",10409,4952,5457,10074,335,234,4578.38,2.3
"2011","B1","B1","Total",7989,4505,3484,7088,901,68,101.44,78.8
"2011","B10","B10","Total",25908,13036,12872,25878,30,138,307,84.4
"2011","B11","B11","Total",44704,22555,22149,44583,121,312,628.65,71.1
"2011","B12","B12","Total",20755,10645,10110,20539,216,164,302.88,68.5
"2011","B13","B13","Total",36817,18501,18316,36323,494,418,915.32,40.2
"2011","B14","B14","Total",43413,21100,22313,43091,322,361,909.56,47.7
"2011","B15","B15","Total",18221,9119,9102,13517,4704,326,634.04,28.7
"2011","B16","B16","Total",23770,12451,11319,23580,190,175,390.1,60.9
"2011","B17","B17","Total",25563,12564,12999,25162,401,404,619.44,41.3
"2011","B18","B18","Total",16283,8387,7896,15306,977,98,322.54,50.5
"2011","B19","B19","Total",20068,10113,9955,19338,730,132,283.69,70.7
"2011","B2","B2","Total",616,353,263,615,1,3,23.3,26.4
"2011","B20","B20","Total",34089,17190,16899,33478,611,407,724.67,47
"2011","B21","B21","Total",30326,15283,15043,30289,37,236,455.96,66.5
"2011","B23","B23","Total",42870,20844,22026,42488,382,277,805.16,53.2
"2011","B24","B24","Total",28870,14153,14717,28427,443,214,841.61,34.3
"2011","B25","B25","Total",16005,7774,8231,15963,42,78,353.14,45.3
"2011","B26","B26","Total",32826,16217,16609,32767,59,220,692.43,47.4
"2011","B27","B27","Total",24834,12215,12619,24424,410,170,426.32,58.3
"2011","B28","B28","Total",30036,14725,15311,29961,75,382,584.41,51.4
"2011","B29","B29","Total",42024,20151,21873,40353,1671,421,797.35,52.7
"2011","B3","B3","Total",2574,1503,1071,2574,0,4,62.73,41
"2011","B30","B30","Total",29084,13943,15141,28456,628,303,773.46,37.6
"2011","B31","B31","Total",54302,26244,28058,54046,256,352,1353.94,40.1
"2011","B32","B32","Total",38518,18230,20288,38186,332,267,1587.85,24.3
"2011","B33","B33","Total",34513,16567,17946,34191,322,152,814.81,42.4
"2011","B34","B34","Total",19327,9130,10197,19183,144,96,466.75,41.4
"2011","B35","B35","Total",9971,4582,5389,9826,145,46,308.46,32.3
"2011","B36","B36","Total",34751,16710,18041,34633,118,231,764.69,45.4
"2011","B37","B37","Total",35728,17307,18421,35437,291,176,1184.14,30.2
"2011","B38","B38","Total",21354,10213,11141,20978,376,154,1126.5,19
"2011","B4","B4","Total",4683,2367,2316,1235,3448,92,149.54,31.3
"2011","B42","B42","Total",24367,11736,12631,23673,694,186,783.86,31.1
"2011","B43","B43","Total",28441,13818,14623,28428,13,301,883.63,32.2
"2011","B44","B44","Total",37091,17789,19302,36882,209,176,745.52,49.8
"2011","B45","B45","Total",30185,14724,15461,29957,228,311,2148.33,14.1
"2011","B46","B46","Total",12072,5912,6160,11916,156,139,5512.7,2.2
"2011","B47","B47","Total",9355,4553,4802,9317,38,126,1111.4,8.4
"2011","B48","B48","Total",5796,2821,2975,5626,170,97,2697.92,2.1
"2011","B49","B49","Total",10189,4971,5218,10030,159,194,8250.32,1.2
"2011","B5","B5","Total",11983,6146,5837,10574,1409,124,335.04,35.8
"2011","B50","B50","Total",5350,2608,2742,5273,77,69,1347.92,4
"2011","B6","B6","Total",19664,9925,9739,19572,92,134,423.83,46.4
"2011","B60","B60","Total",27951,13655,14296,27652,299,427,4828.96,5.8
"2011","B61","B61","Total",23470,11491,11979,22825,645,312,4478.31,5.2
"2011","B62","B62","Total",24401,11958,12443,24196,205,280,2292.1,10.6
"2011","B63","B63","Total",36431,17814,18617,36322,109,353,1178.43,30.9
"2011","B64","B64","Total",16528,8130,8398,16384,144,91,486.72,34
"2011","B65","B65","Total",23770,11621,12149,23678,92,89,654.16,36.3
"2011","B66","B66","Total",21334,10590,10744,21142,192,147,564.13,37.8
"2011","B67","B67","Total",30387,14866,15521,30195,192,235,525.57,57.8
"2011","B68","B68","Total",30588,14889,15699,30478,110,203,655.63,46.7
"2011","B69","B69","Total",28958,14372,14586,28703,255,162,952.63,30.4
"2011","B7","B7","Total",8546,4172,4374,8542,4,52,368.41,23.2
"2011","B70","B70","Total",27992,14263,13729,27716,276,184,1183.63,23.6
"2011","B71","B71","Total",30990,15147,15843,30697,293,194,965.61,32.1
"2011","B72","B72","Total",9569,4658,4911,9434,135,190,314.33,30.4
"2011","B73","B73","Total",22801,11105,11696,22609,192,457,651.92,35
"2011","B74","B74","Total",32470,15731,16739,32247,223,625,2585.68,12.6
"2011","B75","B75","Total",26687,12889,13798,26643,44,438,1879.71,14.2
"2011","B76","B76","Total",21651,10527,11124,21590,61,383,4147.01,5.2
"2011","B77","B77","Total",57313,28232,29081,57171,142,484,2350.7,24.4
"2011","B78","B78","Total",24374,12080,12294,24253,121,260,6584.07,3.7
"2011","B79","B79","Total",22126,10739,11387,21773,353,259,8975.08,2.5
"2011","B8","B8","Total",41929,21004,20925,41773,156,241,600.68,69.8
"2011","B80","B80","Total",7060,3444,3616,6983,77,81,3109.75,2.3
"2011","B9","B9","Total",24903,12260,12643,24718,185,114,487.61,51.1
"2011","B90","B90","Total",45359,21977,23382,45002,357,643,1784.96,25.4
"2011","B91","B91","Total",33166,16106,17060,32896,270,853,1602.27,20.7
"2011","B92","B92","Total",37245,18114,19131,36878,367,467,4140.95,9
"2011","B93","B93","Total",19706,9569,10137,19531,175,610,3078.44,6.4
"2011","B94","B94","Total",7380,3682,3698,7377,3,189,6419.89,1.1
"2011","B95","B95","Total",5663,2725,2938,5616,47,111,5282.45,1.1
"2011","B96","B96","Total",5073,2475,2598,5073,0,89,4166.98,1.2
"2011","B97","B97","Total",33494,17037,16457,32138,1356,395,5492.53,6.1
"2011","B98","B98","Total",50058,25022,25036,49951,107,410,2893.62,17.3
"2011","BA1","BA1","Total",40723,19951,20772,39750,973,787,5194.21,7.8
"2011","BA10","BA10","Total",3739,1820,1919,3238,501,143,4235.23,0.9
"2011","BA11","BA11","Total",32454,15820,16634,32025,429,455,12559.33,2.6
"2011","BA12","BA12","Total",28508,13799,14709,27933,575,660,35623.93,0.8
"2011","BA13","BA13","Total",20224,9806,10418,20079,145,285,7785.84,2.6
"2011","BA14","BA14","Total",48138,23548,24590,47689,449,599,8517.5,5.7
"2011","BA15","BA15","Total",13139,6211,6928,13080,59,286,3716.9,3.5
"2011","BA16","BA16","Total",13041,6376,6665,12109,932,166,3084.08,4.2
"2011","BA2","BA2","Total",73752,36099,37653,69251,4501,1275,15672.51,4.7
"2011","BA20","BA20","Total",10865,5376,5489,10568,297,125,553.07,19.6
"2011","BA21","BA21","Total",33619,16478,17141,33274,345,418,2249.27,14.9
"2011","BA22","BA22","Total",18166,9428,8738,16919,1247,406,18647.62,1
"2011","BA3","BA3","Total",34710,17175,17535,34061,649,484,14097.77,2.5
"2011","BA4","BA4","Total",17775,8888,8887,17379,396,298,16139.42,1.1
"2011","BA5","BA5","Total",17534,8291,9243,17015,519,365,11702.07,1.5
"2011","BA6","BA6","Total",12870,6246,6624,12465,405,245,9259.78,1.4
"2011","BA7","BA7","Total",3514,1653,1861,3396,118,54,1682.57,2.1
"2011","BA8","BA8","Total",4153,2047,2106,4117,36,76,4127.1,1
"2011","BA9","BA9","Total",7242,3506,3736,7128,114,164,7406.62,1
"2011","BB1","BB1","Total",66545,33266,33279,65879,666,659,4986.4,13.3
"2011","BB10","BB10","Total",37432,18490,18942,37156,276,380,7031.56,5.3
"2011","BB11","BB11","Total",22221,10852,11369,21846,375,228,2864.62,7.8
"2011","BB12","BB12","Total",34613,17005,17608,34320,293,396,5713.26,6.1
"2011","BB18","BB18","Total",17179,8486,8693,17095,84,172,4409.06,3.9
"2011","BB2","BB2","Total",59924,29891,30033,59067,857,678,4954.91,12.1
"2011","BB3","BB3","Total",34503,17062,17441,34229,274,295,4226.86,8.2
"2011","BB4","BB4","Total",41401,20306,21095,40866,535,547,7553.58,5.5
"2011","BB5","BB5","Total",61102,30208,30894,60506,596,498,4397.65,13.9
"2011","BB6","BB6","Total",14659,7265,7394,14541,118,201,2310.08,6.3
"2011","BB7","BB7","Total",31699,15595,16104,30856,843,559,41804.74,0.8
"2011","BB8","BB8","Total",23041,11283,11758,22849,192,208,6003.73,3.8
"2011","BB9","BB9","Total",44598,21935,22663,44270,328,455,3046.84,14.6
"2011","BD1","BD1","Total",3836,2252,1584,3832,4,20,107.95,35.5
"2011","BD10","BD10","Total",25882,12605,13277,25635,247,247,964.51,26.8
"2011","BD11","BD11","Total",11355,5518,5837,11242,113,96,1017.31,11.2
"2011","BD12","BD12","Total",16685,8129,8556,16642,43,118,1064.25,15.7
"2011","BD13","BD13","Total",24979,12157,12822,24840,139,245,3834.7,6.5
"2011","BD14","BD14","Total",8871,3966,4905,8291,580,102,401.56,22.1
"2011","BD15","BD15","Total",15316,7374,7942,15224,92,139,850.53,18
"2011","BD16","BD16","Total",25803,12704,13099,25666,137,444,3244.57,8
"2011","BD17","BD17","Total",17901,8743,9158,17815,86,213,1640.83,10.9
"2011","BD18","BD18","Total",27258,13334,13924,26990,268,271,844.16,32.3
"2011","BD19","BD19","Total",22019,10862,11157,21833,186,166,1418.9,15.5
"2011","BD2","BD2","Total",28566,13881,14685,28456,110,220,565.47,50.5
"2011","BD20","BD20","Total",35315,17020,18295,34478,837,489,9917.55,3.6
"2011","BD21","BD21","Total",27133,13537,13596,27068,65,133,1126.65,24.1
"2011","BD22","BD22","Total",29849,14503,15346,29700,149,333,8535.62,3.5
"2011","BD23","BD23","Total",29329,14135,15194,28934,395,557,74476.97,0.4
